N	gene	beta	pval
3594	Arhgap27os3	2.22494134180321	0.0170491842053912
3609	Arhgap45	20.7217875199789	0.968054203071187
3613	Arhgap9	2.54817380233973	0.100107571932329
3614	Arhgdia	-23.5721554785735	8.8960312900691e-10
3617	Arhgef1	37.5764611085084	0.555817268793456
3625	Arhgef18	-15.3147139276728	2.05234264335093e-08
3627	Arhgef2	-19.1689412727713	0.0978435208810588
3631	Arhgef3	-8.00558202183202	8.95554304981073e-06
3642	Arid1a	7.64195448674079	0.000889055155136621
3644	Arid2	2.32060360831936	3.23612283508293e-05
3648	Arid4a	2.46199543620786	0.000140960408352848
3669	Arl4c	7.88639635154935	2.59586943668019e-06
3670	Arl4d	-14.8992422142741	3.33056386235059e-05
3671	Arl5a	-2.87807229184943	0.000132584573101254
3673	Arl5c	3.38008355401201	3.2687334130124e-08
3675	Arl6ip1	-7.80073847754551	0.173016664904359
3677	Arl6ip5	-6.07308223556556	1
3682	Armc1	-2.24170980968045	0.0595795275163275
3690	Armc7	3.99510958552134	0.000621543359207876
3692	Armc9	-2.02287433906527	3.54479680546e-05
3709	Arpc1b	-11.7996735888022	1.78057563425117e-10
3710	Arpc2	-11.0926447873455	3.70184584003075e-06
3711	Arpc3	-2.86367484649918	0.345922077094913
3712	Arpc4	-8.10931439839042	0.00344333435075143
3713	Arpc5	-6.00923804159888	0.593980500112663
3714	Arpc5l	-4.56154113129912	0.999999809769497
3721	Arrdc1	-3.80394446793513	0.149285558102664
3727	Arsb	-39.0916269884455	2.21857441377236e-06
3734	Art2b	18.883811269204	2.03133457777327e-05
3744	As3mt	-18.8552624426909	5.87000620930667e-06
3760	Asb2	6.40081836523866	0.000224182137495092
3803	Ass1	4.06681574757384	0.0483893606444174
3809	Asxl2	-2.57651168625596	0.608571618808637
3815	Atad3a	2.52278467566785	1
3826	Atf4	-2.93794527361676	0.783061765044685
3828	Atf6	-5.28273262684532	0.00217721974472167
3847	Atg4d	-4.97211870772781	1
3848	Atg5	-2.07539110761329	0.334929024703514
3854	Atl2	-2.27787329434051	0.00446962030925304
3865	Atp10d	5.06482805365961	0.00595153015569787
