"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21"
"NKT.19-8-TCRb+CD1daGalCerTet+.Lv#1",1.95993126499455,-21.7014937983067,4.81644466498194,4.70482943085698,0.546750583302282,1.17564873881934,6.25788381838695,-0.241243348586924,0.282039087624421,-0.72041613612976,0.938881209040531,0.0538703311343606,-0.105914739066102,0.642247144240512,0.0956078138856342,-1.07802636756609,-2.5266654690101,1.70037217031675,-3.80291200172899,-3.48327776938011,5.08273978461204e-15
"NKT.19-8-TCRb+CD1daGalCerTet+.Lv#2",2.37069595355883,-21.7036799024058,4.00888538850795,5.39374619139925,0.426770210346896,0.825219395431562,6.48541582823906,-0.84018935931657,-1.39629535430632,-0.553142587359118,0.81844663007883,1.04830212027103,0.519483352471682,0.415308432222835,0.0148004095993979,0.718777914948123,-0.644868105675213,-0.179337266400757,-0.00540458476796157,5.42225163930118,-6.82288427145128e-16
"NKT.19-8-TCRb+CD1daGalCerTet+.Lv#3",1.71349759001494,-22.1337683649232,2.92886918299307,4.18432431716156,-0.363687607187605,1.30075712558849,5.3517028026992,-1.27970996793199,0.497057568780714,1.68722803641871,-1.27534307058924,-1.64764151945719,-0.621274302847369,-1.25145211518304,-0.520360304939668,0.589887380762266,3.26704722042428,-1.45493387535432,4.23252670922397,-2.30212173725969,3.77519196459453e-15
"T.4.Nve.Fem.Sp#1",25.542482717041,17.4550325916554,7.19582520904286,-3.52642002649611,-5.08509052096718,0.197634584184703,-0.640888315930008,-4.29474215803405,-0.719267422110539,2.27547253779255,1.76498813782399,5.15937441079253,-3.19180914334614,-0.5148461416644,-1.41799090683644,1.82831952003364,0.937156634650038,0.304184441052625,-0.584668983391485,-0.481711289370719,7.21471493658754e-15
"T.4.Nve.Fem.Sp#2",23.2333095034186,16.7309548665697,5.48358308447888,-4.31566396315535,-5.97539982407506,-0.413096196531283,-0.400729326415553,-7.32489396355263,-0.704822539157724,-1.87956967068783,-2.78062348933409,-2.8927983439941,2.31805153601406,1.17302971757972,0.58595576967889,-2.04545251238325,-1.52318702109632,-0.725326414801607,0.411863486717625,0.173227495271794,1.9671764217577e-15
"T.4.Nve.Sp#1",25.358121850699,17.5112332961535,6.82930510800366,-2.12489309687862,-4.91456319477496,1.0365362292334,0.658804356915498,4.36902748425186,2.30492312464527,3.8902637132911,2.94258387444529,-3.24926525304498,0.737900616978368,-0.930896039613725,1.96041304248045,-1.67770237715406,1.91108374330263,-0.121580939044456,-1.53161730729966,0.954821445330253,3.78082981589145e-15
"T.4.Nve.Sp#2",25.091180113618,18.5808473424369,7.03579119581429,-1.13801467489458,-4.63594277232039,0.357063812808162,1.37007900507306,7.424886263823,-0.833350847060482,-4.36404680481001,-2.06735989950679,0.867872501763942,0.10267388118274,0.202687146516599,-1.13482592669738,1.79066657591457,-1.40653610847662,0.546393498047012,1.77166821963777,-0.537434377605837,-4.58357310439972e-15
"T.8.Nve.Sp#1",21.2878387399574,18.0700713233387,-4.11270633223384,3.9211818871208,13.4912934903597,0.0283449743442989,-0.634638926336414,-1.12982259503815,1.01418222774111,2.09992102700938,1.95463036875558,0.113397922213478,3.61619012032638,0.439729103678821,0.476303839025705,2.82383326845835,-2.17004412457244,0.753161343927302,1.54442308989543,-0.629229889009126,3.61885001132212e-15
"T.8.Nve.Sp#2",21.0740897247377,17.614353284262,-4.20179807612254,4.71651007062898,13.511537313023,0.27587316906967,-0.074420006253218,0.26771438768337,-0.808244697268612,-1.96086963604221,-2.31006207637876,-0.260289163177639,-3.3484223974688,-0.41849205839817,-0.655460225997928,-2.90724835080268,2.31600001807226,-0.874141759022849,-1.51731753424396,0.542458589999993,8.47108841406374e-15
"Tgd.Sp#3",0.577817956737558,2.72459284759585,-23.0130800933267,0.809848837680705,-5.75387489565421,-1.07697981279443,1.17334239287903,0.323020346865566,2.8328043883966,0.843114132650112,-0.798437818754483,0.679156359048513,1.27337748249132,-3.2604617305107,-3.76611304620318,-0.950842092133579,-1.41490417844845,-1.10714095178226,-0.648708315016582,0.362239358621322,2.21579414430399e-15
"Tgd.Sp#4",2.0790892664007,5.09134470750361,-23.2314225601051,1.671656036908,-5.48770924251687,-1.85258419152534,1.19553076347152,-0.0172360345272648,-2.61104567307714,-1.02264058987602,1.46720214606467,-0.235902953104396,-1.41713323023221,3.06268628141601,3.77800849257425,0.844023014602947,1.25489532816284,1.12139935590123,0.480143767459807,-0.462730873052498,2.9435004780809e-15
