innateness_score	category	cell_type
469163.0088054128	cell_types	exTh17
-1963143.6786910559	cell_types	YFPNeg
-2158076.4153836705	cell_types	Th17
3282857.076204041	cell_types	LN_Naive
1774055.7022728417	cell_types	LN_Memory
